Timestamp(ms),Current(uA),D0-D7
845510,12978.081,00000000
845520,12584.824,00000000
845530,12574.742,00000000
845540,12476.512,00000000
845550,12653.744,00000000
845560,12512.641,00000000
845570,12204.851,00000000
845580,11887.484,00000000
845590,12600.021,00000000
845600,12664.420,00000000
845610,13211.620,00000000
845620,12805.305,00000000
845630,12583.470,00000000
845640,12311.286,00000000
845650,12619.836,00000000
845660,13014.923,00000000
845670,12648.235,00000000
845680,12530.417,00000000
845690,12391.974,00000000
845700,12390.034,00000000
845710,12769.917,00000000
845720,12319.053,00000000
845730,12690.549,00000000
845740,12750.307,00000000
845750,12598.921,00000000
845760,12425.658,00000000
845770,12584.522,00000000
845780,12292.202,00000000
845790,12636.733,00000000
845800,12980.925,00000000
845810,12989.796,00000000
845820,12723.859,00000000
845830,12653.766,00000000
845840,12437.185,00000000
845850,12477.619,00000000
845860,12734.080,00000000
845870,12501.663,00000000
845880,12281.670,00000000
845890,12370.179,00000000
845900,12842.311,00000000
845910,12387.573,00000000
845920,12506.592,00000000
845930,12233.740,00000000
845940,12737.463,00000000
845950,24344.176,00000000
845960,48745.004,00000000
845970,57378.578,00000000
845980,60481.047,00000000
845990,61929.801,00000000
846000,61881.113,00000000
846010,62595.055,00000000
846020,62684.074,00000000
846030,62846.848,00000000
846040,63029.180,00000000
846050,62597.832,00000000
846060,61921.270,00000000
846070,62103.410,00000000
846080,63165.992,00000000
846090,62931.297,00000000
846100,62874.758,00000000
846110,61777.230,00000000
846120,62110.289,00000000
846130,62594.406,00000000
846140,61990.695,00000000
846150,62969.988,00000000
846160,62836.609,00000000
846170,63013.973,00000000
846180,62593.457,00000000
846190,62357.852,00000000
846200,62404.301,00000000
846210,62030.523,00000000
846220,62839.961,00000000
846230,62982.875,00000000
846240,62736.637,00000000
846250,62353.504,00000000
846260,62352.621,00000000
846270,62694.125,00000000
846280,63334.785,00000000
846290,62958.383,00000000
846300,63179.746,00000000
846310,62758.738,00000000
846320,62915.551,00000000
846330,61454.430,00000000
846340,62218.570,00000000
846350,62438.523,00000000
846360,62904.000,00000000
846370,62514.340,00000000
846380,63014.652,00000000
846390,62956.074,00000000
846400,62645.344,00000000
846410,62151.941,00000000
846420,61718.746,00000000
846430,62012.727,00000000
846440,63246.938,00000000
846450,64502.078,00000000
846460,63930.867,00000000
846470,62538.324,00000000
846480,62103.977,00000000
846490,62473.727,00000000
846500,63001.113,00000000
846510,63307.902,00000000
846520,62766.320,00000000
846530,62520.113,00000000
846540,62580.273,00000000
846550,62369.750,00000000
846560,62488.297,00000000
846570,62920.934,00000000
846580,63243.605,00000000
846590,62528.305,00000000
846600,62426.262,00000000
846610,62432.328,00000000
846620,62849.547,00000000
846630,62786.281,00000000
846640,63222.316,00000000
846650,63170.734,00000000
846660,63427.145,00000000
846670,62833.207,00000000
846680,62402.375,00000000
846690,63177.418,00000000
846700,62088.797,00000000
846710,62795.813,00000000
846720,63063.094,00000000
846730,63064.379,00000000
846740,62775.324,00000000
846750,62449.008,00000000
