Timestamp(ms),Current(uA),D0-D7
309700,62630.008,00000000
309710,62312.602,00000000
309720,62787.391,00000000
309730,63024.727,00000000
309740,62678.484,00000000
309750,62508.906,00000000
309760,61894.008,00000000
309770,62011.719,00000000
309780,62161.051,00000000
309790,62211.887,00000000
309800,62741.586,00000000
309810,33175.281,00000000
309820,19127.303,00000000
309830,13470.921,00000000
309840,11876.370,00000000
309850,11204.428,00000000
309860,11012.936,00000000
309870,11741.440,00000000
309880,11063.372,00000000
309890,11223.741,00000000
309900,11370.043,00000000
309910,11129.155,00000000
309920,10963.494,00000000
309930,10750.601,00000000
309940,10928.810,00000000
309950,11451.981,00000000
309960,10887.181,00000000
309970,10553.518,00000000
309980,10621.012,00000000
309990,10738.571,00000000
310000,10834.698,00000000
310010,11083.897,00000000
310020,11403.324,00000000
310030,10898.482,00000000
310040,10816.358,00000000
310050,10819.765,00000000
310060,10958.049,00000000
310070,10580.528,00000000
310080,11111.015,00000000
310090,11349.004,00000000
310100,11235.619,00000000
310110,11029.875,00000000
310120,10902.714,00000000
310130,10879.628,00000000
310140,10576.017,00000000
310150,11291.037,00000000
310160,11393.549,00000000
310170,11340.116,00000000
310180,11025.103,00000000
310190,11028.357,00000000
310200,10886.523,00000000
310210,10785.315,00000000
310220,10987.562,00000000
310230,10946.039,00000000
310240,11344.919,00000000
310250,10838.760,00000000
310260,11189.751,00000000
310270,10474.013,00000000
310280,10830.731,00000000
310290,11041.482,00000000
310300,10905.720,00000000
310310,10882.813,00000000
310320,12618.395,00000000
310330,14883.397,00000000
310340,15055.936,00000000
310350,12359.484,00000000
310360,13895.520,00000000
310370,15100.052,00000000
310380,15318.252,00000000
310390,15822.660,00000000
310400,15648.142,00000000
310410,15644.419,00000000
310420,15440.458,00000000
310430,15719.521,00000000
310440,15936.617,00000000
310450,15955.528,00000000
310460,15799.031,00000000
310470,15586.133,00000000
310480,16168.917,00000000
310490,16069.967,00000000
310500,15805.751,00000000
310510,16190.495,00000000
310520,15863.601,00000000
310530,15648.095,00000000
310540,15641.041,00000000
310550,15634.276,00000000
310560,15821.448,00000000
310570,16126.028,00000000
310580,16329.758,00000000
310590,16173.835,00000000
310600,15978.428,00000000
310610,15571.704,00000000
310620,15670.517,00000000
310630,16130.242,00000000
310640,15979.489,00000000
310650,16050.465,00000000
310660,16120.183,00000000
310670,16538.834,00000000
310680,16149.568,00000000
310690,15642.283,00000000
310700,16008.680,00000000
310710,16232.678,00000000
310720,24551.164,00000000
310730,38591.461,00000000
310740,54523.031,00000000
310750,67685.469,00000000
310760,78439.352,00000000
310770,87284.688,00000000
310780,92431.828,00000000
310790,95243.523,00000000
310800,96054.234,00000000
310810,97160.711,00000000
310820,96352.914,00000000
310830,95523.922,00000000
310840,95606.563,00000000
310850,96072.117,00000000
310860,94294.828,00000000
310870,93179.453,00000000
310880,92117.805,00000000
310890,90698.766,00000000
310900,89284.617,00000000
310910,88559.906,00000000
310920,87697.313,00000000
310930,87623.625,00000000
310940,86066.922,00000000
310950,84882.922,00000000
310960,85022.617,00000000
310970,83942.195,00000000
310980,83872.992,00000000
310990,82977.133,00000000
311000,82827.508,00000000
311010,82525.781,00000000
311020,81752.555,00000000
311030,81468.938,00000000
311040,81367.117,00000000
311050,80795.305,00000000
311060,80363.586,00000000
311070,80643.172,00000000
311080,80879.867,00000000
311090,80331.391,00000000
311100,80246.188,00000000
311110,61019.871,00000000
311120,32508.023,00000000
311130,21700.883,00000000
311140,18889.283,00000000
311150,16893.217,00000000
311160,16438.326,00000000
311170,16391.814,00000000
311180,16143.182,00000000
311190,15743.814,00000000
311200,16313.754,00000000
311210,16861.490,00000000
311220,16336.141,00000000
311230,16033.295,00000000
311240,16162.166,00000000
311250,15975.201,00000000
311260,16166.945,00000000
311270,16133.765,00000000
311280,16497.436,00000000
311290,17015.428,00000000
311300,17968.561,00000000
311310,18136.688,00000000
311320,18070.736,00000000
311330,17456.664,00000000
311340,17154.078,00000000
311350,17301.631,00000000
311360,17220.846,00000000
311370,14194.859,00000000
311380,12191.626,00000000
311390,11618.267,00000000
311400,11268.776,00000000
311410,11247.217,00000000
311420,11775.831,00000000
311430,11514.390,00000000
311440,11745.467,00000000
311450,10769.750,00000000
311460,10647.729,00000000
311470,11229.559,00000000
311480,11559.480,00000000
311490,10999.437,00000000
311500,11343.519,00000000
311510,11251.204,00000000
311520,10712.223,00000000
311530,10959.777,00000000
311540,11140.417,00000000
311550,11821.340,00000000
311560,11742.521,00000000
311570,11532.286,00000000
311580,11334.718,00000000
